keyword,volume,kd,cpc_usd,comp_density,intent,click_potential,serp_features
pro rate calculator,110.0,14.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
uk salary.calculator,110.0,59.0,0.8,0.01,Informational,90.0,
salary calculator monthly pay,110.0,61.0,0.0,0.01,Informational,90.0,"Video, Related Searches"
salary per month calculator,110.0,62.0,0.0,0.02,Informational,90.0,Related Searches
calculator salary per month,110.0,67.0,0.0,0.02,Informational,90.0,"Video, Related Searches, AI Overview"
annual salary to take home calculator,110.0,60.0,0.0,0.02,Informational,90.0,"Video, Related Searches"
revenue calc,110.0,0.0,2.47,0.09,Informational,0.0,"Video, Related Searches"
contract day rate calculator,110.0,13.0,0.99,0.09,Informational,90.0,Related Searches
contractor take,110.0,0.0,0.0,0.0,,0.0,
contractor take home calculator,110.0,16.0,1.59,0.26,Informational,90.0,"Video, Related Searches"
contractor take home pay calculator inside ir35,110.0,9.0,0.82,0.21,Informational,20.0,"Site Links, Video, Related Searches"
dividend and tax calculator,110.0,5.0,1.51,0.01,"Informational, Commercial",20.0,"Site Links, Video, Related Searches"
inside ir35 calculator take home,110.0,27.0,1.04,0.29,Informational,20.0,"Site Links, Video, Related Searches"
80k a year after taxes,110.0,9.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
what is 45 000 after taxes,110.0,12.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
40000 salary after tax uk,110.0,12.0,0.0,0.01,Informational,90.0,"AI Overview, Video, Related Searches"
take home on 60k,110.0,9.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
45000 a year after tax,110.0,12.0,0.0,0.0,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
45k salary after tax uk,110.0,14.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
take home pay for 80k,110.0,5.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video"
take home pay on 30000 uk,110.0,17.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
take home pay on 40k uk,110.0,17.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
take home pay 60000 salary uk,110.0,8.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
salary yearly to monthly,110.0,41.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
how much is the tax on bonuses,110.0,36.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, FAQ, Related Searches, Discussions And Forums, AI Overview"
how much will i be taxed on my bonus,110.0,32.0,0.0,0.0,Informational,20.0,"Related Searches, AI Overview, Site Links, Video, People Also Ask"
3600 after tax,110.0,33.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
how much of a bonus is taxed,110.0,44.0,0.0,0.0,Informational,20.0,"AI Overview, Site Links, Video, People Also Ask, FAQ, Related Searches"
tax calculator uk bonus,110.0,34.0,0.96,0.02,"Informational, Commercial",90.0,Related Searches
how much is the tax on bonus,110.0,43.0,0.0,0.0,Informational,20.0,"FAQ, Related Searches, AI Overview, Site Links, Video, People Also Ask"
24000 salary after tax,110.0,11.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
50000 take home,110.0,9.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
what is take home pay on 30000,110.0,9.0,0.36,0.02,Informational,90.0,"Related Searches, AI Overview"
how much tax would i pay on 25000,110.0,27.0,0.57,0.06,Informational,90.0,"Video, Related Searches, AI Overview"
take home pay 50k uk,110.0,13.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
20k take home pay,110.0,9.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
25 000 after tax uk,110.0,9.0,0.64,0.01,Informational,90.0,"AI Overview, People Also Ask, Related Searches"
30 000 salary after tax uk,110.0,15.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
45k after tax and student loan,110.0,9.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
uk minimum wage 2012,110.0,14.0,0.0,0.0,Informational,90.0,"Image Pack, People Also Ask, Related Searches, AI Overview"
when will civil service pay rise be paid,110.0,14.0,0.0,0.0,Informational,20.0,"FAQ, Related Searches, AI Overview, Site Links, People Also Ask"
take home pay 80k,110.0,5.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
take home pay on 75k,110.0,12.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
what is a net payment,110.0,27.0,0.11,0.02,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
what is net payment,110.0,26.0,0.11,0.02,Informational,90.0,"AI Overview, Video, Related Searches, Short Videos"
salary and wages calculator,110.0,68.0,0.0,0.01,Informational,90.0,"Video, Related Searches"
salary take home calc,110.0,41.0,0.57,0.0,Informational,90.0,"Video, People Also Ask, Related Searches"
take home pay calculater,110.0,56.0,0.57,0.0,Informational,90.0,"Video, Related Searches"
wage calulator,110.0,72.0,0.87,0.03,Informational,75.0,"Video, Related Searches"
income cal,110.0,66.0,1.22,0.0,Informational,75.0,"Video, Related Searches"
annual salary take home calculator,110.0,68.0,0.0,0.02,Informational,90.0,Related Searches
salary calculator from monthly pay,110.0,59.0,0.72,0.01,Informational,90.0,"Related Searches, AI Overview, Video"
salary deduction calculator,110.0,47.0,0.0,0.02,Informational,90.0,"Video, Related Searches"
how much are bonus taxes,110.0,41.0,0.0,0.0,Informational,20.0,"FAQ, Related Searches, AI Overview, Site Links, Video, People Also Ask"
annual monthly salary calculator,110.0,38.0,0.0,0.0,Informational,90.0,Related Searches
after tax bonus,110.0,50.0,0.0,0.0,Informational,90.0,"Discussions And Forums, AI Overview, Video, People Also Ask, Related Searches"
how much will i get taxed on my bonus,110.0,47.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
salary bonus calculator,110.0,36.0,0.0,0.0,Informational,90.0,Related Searches
salary calculator uk tax,110.0,65.0,0.57,0.03,Informational,90.0,Related Searches
salary v dividend calculator,110.0,0.0,0.0,0.01,,0.0,
salary versus dividends calculator,110.0,5.0,0.0,0.0,Commercial,20.0,"Related Searches, Site Links, Video"
salary vs dividends,110.0,21.0,32.26,0.03,Informational,90.0,"Video Carousel, Related Searches, Short Videos, AI Overview, Video"
take home contractor pay calculator,110.0,16.0,1.39,0.24,Commercial,90.0,Related Searches
tax calculator for limited company,110.0,12.0,1.68,0.26,Commercial,90.0,"FAQ, Related Searches, Video"
tax calculator ltd company,110.0,22.0,1.68,0.26,Informational,90.0,"Related Searches, Video, People Also Ask"
limited company director salary calculator,110.0,15.0,1.6,0.06,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
limited tax calculator,110.0,12.0,2.48,0.25,Commercial,90.0,"Video, People Also Ask, FAQ, Related Searches"
ltd co calculator,110.0,13.0,2.58,0.2,Informational,90.0,"Video, Adwords Bottom, FAQ, Related Searches"
parasol calculator,110.0,5.0,1.57,0.1,Informational,75.0,Related Searches
parasol umbrella calculator,110.0,5.0,1.57,0.1,Informational,90.0,"Video, Related Searches"
paye umbrella calculator,110.0,7.0,1.2,0.43,Commercial,90.0,"Video, People Also Ask, Related Searches"
paystream take home calculator,110.0,15.0,1.6,0.05,"Navigational, Transactional",20.0,"Site Links, Related Searches"
paystream umbrella company,110.0,23.0,2.05,0.53,Navigational,20.0,"Short Videos, Knowledge Panel, Site Links, Video, Image, Related Searches"
annual earning calculator,110.0,55.0,0.75,0.01,Informational,90.0,"Video, Related Searches"
bring home money calculator,110.0,41.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
yearly salary monthly calculator,110.0,58.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
annual salary take home pay calculator,110.0,35.0,0.0,0.02,Informational,90.0,"Video, Related Searches"
full time pay calculator,110.0,30.0,0.0,0.0,Informational,90.0,Related Searches
salary to monthly pay calculator,110.0,61.0,0.0,0.01,Informational,90.0,Related Searches
calculate salary income,110.0,32.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
monthly salary calculator after tax,110.0,55.0,0.52,0.04,Informational,90.0,Related Searches
25 000 take home pay,110.0,37.0,0.34,0.01,Informational,90.0,"Related Searches, AI Overview"
41k take home pay,110.0,13.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
how is taxable income calculated,110.0,41.0,0.95,0.05,Informational,90.0,"Video, FAQ, Related Searches, AI Overview"
take home pay on 41000,110.0,0.0,0.0,0.33,,0.0,
hours overtime calculator,110.0,12.0,0.0,0.03,Informational,90.0,"Video, Related Searches"
44k take home pay,110.0,14.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
40000 take home,110.0,13.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video"
28000 after tax scotland,110.0,14.0,0.81,0.03,Informational,80.0,"Related Searches, Video, Featured Snippet, People Also Ask"
back pay calculator nhs,110.0,14.0,0.0,0.0,Informational,20.0,"Related Searches, Site Links, People Also Ask"
90 000 after tax uk,110.0,14.0,0.58,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
10000 after tax uk,110.0,14.0,0.0,0.03,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
12.20 an hour is how much a year,110.0,14.0,0.0,0.0,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
70000 gbp after tax,110.0,14.0,0.0,0.01,Informational,80.0,"Video, Featured Snippet, People Also Ask, Related Searches"
tax rate on 2nd job,110.0,13.0,0.0,0.0,"Informational, Commercial",20.0,"Featured Snippet, People Also Ask, Related Searches, Discussions And Forums, Site Links, Video"
uk tax calculator scotland,110.0,47.0,0.63,0.03,Informational,90.0,"Video, Related Searches"
15 an hour annual salary,110.0,14.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
vat calculator for ireland,90.0,13.0,1.24,0.04,Informational,90.0,"People Also Ask, Related Searches"
45k after tax per month,90.0,9.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
calculate in hand salary,90.0,47.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
net pay salary calculator,90.0,44.0,0.71,0.0,Informational,90.0,Related Searches
how much tax do i pay on my bonus uk,90.0,48.0,1.06,0.04,Informational,20.0,"Related Searches, AI Overview, Site Links, Video, People Also Ask, FAQ"
bonus and salary tax calculator,90.0,47.0,0.0,0.0,Informational,90.0,"Related Searches, Video"
tax bonus calculator uk,90.0,46.0,0.96,0.02,"Informational, Commercial",90.0,Related Searches
50k a month after tax,90.0,14.0,0.0,0.01,Informational,90.0,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Video"
wage calculator uk after tax,90.0,54.0,0.58,0.02,Informational,90.0,"Video, Related Searches"
40 k after tax,90.0,14.0,0.69,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
take home pay pension calculator,90.0,0.0,1.08,0.04,,0.0,
take home pay singapore calculator,90.0,0.0,0.0,0.33,,0.0,
uk.take home pay,90.0,53.0,0.81,0.0,Informational,90.0,"Video, Related Searches"
what does take home pay mean,90.0,0.0,0.0,0.33,,0.0,
work.out take home pay,90.0,42.0,0.6,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
salary sacrafice calculator,90.0,24.0,0.93,0.09,Commercial,90.0,"Video, Related Searches"
81000 after tax,90.0,8.0,0.0,0.01,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
英国税后工资计算器,90.0,49.0,0.58,0.18,Informational,60.0,"People Also Ask, Related Searches"
calculate tax on bonus uk,90.0,45.0,0.96,0.02,Informational,20.0,"Site Links, Related Searches"
calculate bonus,90.0,45.0,0.0,0.0,Informational,75.0,"Video, People Also Ask, Related Searches, AI Overview"
bonus calculator after tax uk,90.0,35.0,0.96,0.02,Informational,20.0,"Site Links, Related Searches"
30000 per year after tax,90.0,12.0,0.0,0.01,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
calculate pay with bonus,90.0,36.0,0.0,0.0,"Informational, Commercial",90.0,Related Searches
how much tax if i earn 50000,90.0,19.0,0.76,0.07,Informational,20.0,"Site Links, Video, FAQ, Related Searches, Discussions And Forums, AI Overview"
30000 take home pay uk,90.0,11.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
350000 after tax,90.0,38.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
90000 take home pay uk,90.0,14.0,0.0,0.01,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
glasgow minimum wage,90.0,14.0,1.19,0.03,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
44000 take home pay,90.0,15.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
how much tax should be paid on 30000,90.0,14.0,0.61,0.08,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
london take home pay,90.0,0.0,0.0,0.33,,0.0,
90 000 take home pay,90.0,0.0,0.0,0.33,,0.0,
nhs banding take home pay,90.0,0.0,0.0,0.33,,0.0,
take home pay 34000,90.0,0.0,0.0,0.33,,0.0,
take home pay comparison,90.0,0.0,0.0,0.02,,0.0,
take home pay 52000,90.0,0.0,0.0,0.33,,0.0,
take home pay 90k,90.0,0.0,0.0,0.33,,0.0,
take home pay caculator,90.0,0.0,0.97,0.33,,0.0,
take home pay on 39000,90.0,0.0,0.0,0.33,,0.0,
take home pay contractor,90.0,0.0,1.67,0.22,,0.0,
take home pay on 48000,90.0,0.0,0.0,0.33,,0.0,
26500 take home pay,70.0,0.0,0.0,0.33,,0.0,
take home pay 120000,70.0,0.0,0.0,0.33,,0.0,
pets at home pay,70.0,0.0,0.0,0.01,,0.0,
nyc take home pay,70.0,0.0,0.0,0.06,,0.0,
nurses take home pay,70.0,0.0,0.0,0.33,,0.0,
gov.uk take home pay,70.0,0.0,0.0,0.33,,0.0,
disposable income calculator uk,70.0,0.0,0.0,0.01,,0.0,
50 000 take home pay,70.0,0.0,0.0,0.33,,0.0,
45k after tax scotland,70.0,0.0,0.0,0.33,,0.0,
22k take home pay,70.0,0.0,0.0,0.33,,0.0,
19000 take home pay,70.0,0.0,0.0,0.33,,0.0,
120 000 take home pay,70.0,0.0,0.0,0.33,,0.0,
take home pay reed,70.0,0.0,0.0,0.33,,0.0,
take home pay 49000,70.0,0.0,0.0,0.33,,0.0,
take home pay 27500,70.0,0.0,0.0,0.33,,0.0,
take home pay 21000,70.0,0.0,0.0,0.33,,0.0,
take home pay 20k,70.0,0.0,0.0,0.33,,0.0,
what is my.take home pay,70.0,0.0,0.73,0.01,,0.0,
take home pay usa,70.0,0.0,1.22,0.06,,0.0,
take home pay us,70.0,0.0,1.22,0.06,,0.0,
take home pay 120k,50.0,0.0,0.0,0.33,,0.0,
nets payment,50.0,0.0,13.21,0.35,,0.0,
net payment calculator,50.0,0.0,1.0,0.01,,0.0,
estimating take home pay,50.0,0.0,0.97,0.33,,0.0,
calcuate take home pay,50.0,0.0,0.97,0.33,,0.0,
take home pay hmrc,50.0,0.0,0.0,0.01,,0.0,
take home pay for 120k,50.0,0.0,0.0,0.33,,0.0,
take home pay 23k,50.0,0.0,0.0,0.33,,0.0,
us take home pay,50.0,0.0,1.22,0.06,,0.0,
uc take home pay,50.0,0.0,0.0,0.33,,0.0,
tke home pay,50.0,0.0,1.38,0.33,,0.0,
take home pay umbrella,50.0,0.0,1.33,0.46,,0.0,
take home pay on 19000,50.0,0.0,0.0,0.33,,0.0,
yearly annual income calculator,50.0,0.0,0.0,0.01,,0.0,
what percentage of take home pay for mortgage,50.0,0.0,0.0,0.02,,0.0,
what percent of take home pay should go to mortgage,50.0,0.0,0.0,0.33,,0.0,
salary calculations,50.0,0.0,1.22,0.33,,0.0,
take home pay calculator.,50.0,0.0,0.97,0.33,,0.0,
50k a year take home pay,40.0,0.0,0.0,0.01,,0.0,
37500 take home pay,40.0,0.0,0.0,0.33,,0.0,
120k take home pay,40.0,0.0,0.0,0.33,,0.0,
rake home pay,40.0,0.0,1.38,0.33,,0.0,
how to calculate net payment,40.0,0.0,0.53,0.02,,0.0,
home pay,40.0,0.0,0.0,0.04,,0.0,
80 000 take home pay,40.0,0.0,0.0,0.33,,0.0,
56000 take home pay,40.0,0.0,0.0,0.33,,0.0,
take home pay 25 26,40.0,0.0,0.0,0.33,,0.0,
tkae home pay,40.0,0.0,1.38,0.33,,0.0,
what net pay meaning,40.0,0.0,0.0,0.33,,0.0,
whats take home pay,40.0,0.0,0.0,0.33,,0.0,
take home pay caluclator,40.0,0.0,0.0,0.0,,0.0,
take home pay clac,40.0,0.0,0.97,0.33,,0.0,
take home pay estimate,40.0,0.0,0.97,0.33,,0.0,
take home pay on 34000,40.0,0.0,0.0,0.01,,0.0,
take home pay teacher,40.0,0.0,0.0,0.33,,0.0,
45k tax,30.0,0.0,0.0,0.01,,0.0,
47810 take home pay,30.0,0.0,0.0,0.33,,0.0,
49k take home pay,30.0,0.0,0.0,0.33,,0.0,
150k take home pay,30.0,0.0,0.0,0.33,,0.0,
26.5 k take home pay,30.0,0.0,0.0,0.33,,0.0,
27k take home pay monthly,30.0,0.0,0.0,0.33,,0.0,
31500 take home pay,30.0,0.0,0.0,0.33,,0.0,
32500 take home pay,30.0,0.0,0.0,0.33,,0.0,
56k take home pay,30.0,0.0,0.0,0.33,,0.0,
77000 take home pay,30.0,0.0,0.0,0.33,,0.0,
